repo,agent,rel_path,skill_dir,yaml_name,size_lines,commit_hash,commit_date,commit_message,has_acf_cochange,total_cochanged,provenance_auto,provenance_lana,notes
Azure/azure-container-networking,Copilot,.github/skills/acn-go-control-plane-contracts/SKILL.md,.github/skills,acn-go-control-plane-contracts,244,990ec273f6f4,4/16/2026,Distill Agent Go skills and instructions (#4354),TRUE,12,marketplace_signal,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
Azure/azure-container-networking,Copilot,.github/skills/acn-go-design-boundaries/SKILL.md,.github/skills,acn-go-design-boundaries,456,990ec273f6f4,4/16/2026,Distill Agent Go skills and instructions (#4354),TRUE,12,marketplace_signal,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
Azure/azure-cosmos-dotnet-v3,Copilot,.github/skills/openspec-apply-change/SKILL.md,.github/skills,openspec-apply-change,157,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
Azure/azure-cosmos-dotnet-v3,Copilot,.github/skills/openspec-archive-change/SKILL.md,.github/skills,openspec-archive-change,115,c2080630451a,3/24/2026,[Internal] Tooling: Adds OpenSpec (#5692),FALSE,9,marketplace,marketplace,Known reusable skill name or OpenSpec skill pattern.
Azure/azure-cosmos-dotnet-v3,Copilot,.github/skills/openspec-explore/SKILL.md,.github/skills,openspec-explore,289,c2080630451a,3/24/2026,[Internal] Tooling: Adds OpenSpec (#5692),FALSE,9,marketplace,marketplace,Known reusable skill name or OpenSpec skill pattern.
Azure/azure-dev,Copilot,.github/skills/azd-preflight/SKILL.md,.github/skills,azd-preflight,42,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
Azure/azure-dev,Copilot,.github/skills/changelog-generation/SKILL.md,.github/skills,changelog-generation,116,75d52d0b2426,4/1/2026,Migrate changelog agents to unified changelog-generation skill (#7381),FALSE,5,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Azure/azure-dev,Copilot,.github/skills/sensei/SKILL.md,.github/skills,sensei,43,d93cc27fde3a,4/8/2026,Add azd-preflight Copilot skill to auto-run and fix preflight checks (#7566),TRUE,9,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Azure/azure-sdk,Copilot,.github/skills/azsdk-common-apiview-feedback-resolution/SKILL.md,.github/skills,azsdk-common-apiview-feedback-resolution,43,70147cdf0475,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#9871),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk,Copilot,.github/skills/azsdk-common-generate-sdk-locally/SKILL.md,.github/skills,azsdk-common-generate-sdk-locally,69,70147cdf0475,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#9871),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk,Copilot,.github/skills/azsdk-common-pipeline-troubleshooting/SKILL.md,.github/skills,azsdk-common-pipeline-troubleshooting,41,70147cdf0475,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#9871),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk-for-cpp,Copilot,.github/skills/azsdk-common-apiview-feedback-resolution/SKILL.md,.github/skills,azsdk-common-apiview-feedback-resolution,43,ec2883479826,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#7075),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk-for-cpp,Copilot,.github/skills/azsdk-common-generate-sdk-locally/SKILL.md,.github/skills,azsdk-common-generate-sdk-locally,69,ec2883479826,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#7075),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk-for-cpp,Copilot,.github/skills/azsdk-common-pipeline-troubleshooting/SKILL.md,.github/skills,azsdk-common-pipeline-troubleshooting,41,ec2883479826,4/29/2026,Sync .github directory with azure-sdk-tools for PR 15210 (#7075),FALSE,64,marketplace_signal,marketplace,Commit message indicates reusable/template/registry-style skill source.
Azure/azure-sdk-for-rust,Copilot,.github/skills/check-spelling/SKILL.md,.github/skills,check-spelling,53,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
Azure/azure-sdk-for-rust,Copilot,.github/skills/create-crate/SKILL.md,.github/skills,create-crate,40,9fb3143ff5f0,3/2/2026,Consolidate agent instructions and improve skills (#3836),TRUE,11,marketplace_signal,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
Azure/azure-sdk-for-rust,Copilot,.github/skills/lint-markdown/SKILL.md,.github/skills,lint-markdown,35,9fb3143ff5f0,3/2/2026,Consolidate agent instructions and improve skills (#3836),TRUE,11,marketplace_signal,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
Azure/azure-sdk-tools,Copilot,.github/skills/azsdk-common-apiview-feedback-resolution/SKILL.md,.github/skills,azsdk-common-apiview-feedback-resolution,43,,,,,,unknown,unknown,No introduction commit was available in the extracted history.
Azure/azure-sdk-tools,Copilot,.github/skills/azsdk-common-generate-sdk-locally/SKILL.md,.github/skills,azsdk-common-generate-sdk-locally,69,d1bf53357b42,3/17/2026,Add shared Copilot skills and skill development tooling (#14285),FALSE,88,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Azure/azure-sdk-tools,Copilot,.github/skills/azsdk-common-pipeline-troubleshooting/SKILL.md,.github/skills,azsdk-common-pipeline-troubleshooting,41,d1bf53357b42,3/17/2026,Add shared Copilot skills and skill development tooling (#14285),FALSE,88,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Azure/bicep-registry-modules,Copilot,.github/skills/avm-child-module-publishing/SKILL.md,.github/skills,avm-child-module-publishing,27,cee1bfa39c07,3/19/2026,feat: GH copilot updates (#6291),TRUE,12,marketplace_signal,from_acf,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Azure/kubelogin,Copilot,.github/skills/update-changelog/SKILL.md,.github/skills,update-changelog,75,385f8f6d3f9d,2/19/2026,feat: automate CHANGELOG.md generation for releases (#737),FALSE,10,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
AzureAD/microsoft-authentication-library-for-dotnet,Copilot,.github/skills/msal-auth-code-flow/SKILL.md,.github/skills,msal-auth-code-flow,96,79ff78343e54,2/11/2026,Add MSAL Confidential Client Authentication skill (#5745),FALSE,13,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
AzureAD/microsoft-authentication-library-for-dotnet,Copilot,.github/skills/msal-client-credentials/SKILL.md,.github/skills,msal-client-credentials,104,79ff78343e54,2/11/2026,Add MSAL Confidential Client Authentication skill (#5745),FALSE,13,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
AzureAD/microsoft-authentication-library-for-dotnet,Copilot,.github/skills/msal-mtls-pop-fic-two-leg/SKILL.md,.github/skills,,351,0e93afa1d03e,2/27/2026,Improve GitHub Agent Skills discoverability with comprehensive catalog README (#5733),TRUE,12,marketplace_signal,from_acf,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
AzureAD/microsoft-identity-web,Copilot,.github/skills/entra-id-aspire-authentication/SKILL.md,.github/skills,entra-id-aspire-authentication,543,61a1926a70ea,1/30/2026,"Adding an article and an agent skill, to add Entra ID to an aspire app (#3689)",FALSE,4,unknown,scratch,Commit message explicitly introduces or updates project-specific skill files.
AzureAD/microsoft-identity-web,Copilot,.github/skills/entra-id-aspire-provisioning/SKILL.md,.github/skills,entra-id-aspire-provisioning,812,ba82a4d9b024,2/2/2026,Improves the Aspire doc article and skills (#3695),FALSE,6,marketplace_signal,scratch,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
BoldGrid/w3-total-cache,OpenAI_Codex,.claude/skills/move-pr-to-private-ghsa/SKILL.md,.claude/skills,move-pr-to-private-ghsa,889,c52856903c26,5/14/2026,Move PR to GHSA skill (#1331),TRUE,2,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
BoldGrid/w3-total-cache,OpenAI_Codex,.claude/skills/pr-content-to-jira/SKILL.md,.claude/skills,pr-content-to-jira,352,adb3f065db93,5/14/2026,Add PR to Jira skill (#1330),TRUE,2,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
BoldGrid/w3-total-cache,OpenAI_Codex,.claude/skills/repost-pr-reviews-to-tpf/SKILL.md,.claude/skills,repost-pr-reviews-to-tpf,388,87e93e9346d3,5/20/2026,Update PR skills (#1332),TRUE,4,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
CoreWCF/CoreWCF,Copilot,.github/skills/code-memory/SKILL.md,.github/skills,code-memory,183,edc491989d31,3/10/2026,"Add copilot instructions, and add a skill which helps build context on the codebase.",TRUE,7,scratch,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
Crownicles/Crownicles,Copilot,.github/skills/create-small-event/SKILL.md,.github/skills,create-small-event,201,4014f010a578,2/8/2026,add petDropToken small event + create-small-event skill Fixes #3975,FALSE,7,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
GitTools/GitVersion,Copilot,.github/skills/dotnet-dev/SKILL.md,.github/skills,dotnet-dev,268,60cb8bda68ac,1/28/2026,docs(vscode-skills): Add .NET dev and NuGet manager skills,FALSE,3,unknown,marketplace,Commit message indicates reusable/template/registry-style skill source.
GitTools/GitVersion,Copilot,.github/skills/git-commit/SKILL.md,.github/skills,git-commit,126,9a3821a9cf75,2/1/2026,feat(skills): Add git-commit skill; move skill docs,FALSE,5,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
GitTools/GitVersion,Copilot,.github/skills/nuget-manager/SKILL.md,.github/skills,nuget-manager,80,60cb8bda68ac,1/28/2026,docs(vscode-skills): Add .NET dev and NuGet manager skills,FALSE,3,unknown,marketplace,Commit message indicates reusable/template/registry-style skill source.
JanDeDobbeleer/oh-my-posh,Copilot,.github/skills/segment-create/SKILL.md,.github/skills,segment-create,170,37acb7d01f3b,9/18/2025,chore(ai): add custom segment prompt file,FALSE,2,scratch_likely,scratch,Automatic signal and commit metadata suggest project-specific creation.
JanDeDobbeleer/oh-my-posh,Copilot,.github/skills/segment-docs/SKILL.md,.github/skills,segment-docs,117,8f1e3e469e9d,3/9/2026,chore: migrate segment-docs to skill,FALSE,3,unknown,from_acf,Available metadata is insufficient to determine provenance confidently.
JhumanJ/OpnForm,Cursor,.cursor/skills/frontend-design/SKILL.md,.cursor/skills,frontend-design,43,baab66dbb129,5/27/2026,OpnForm V2 🚀 (#1053),FALSE,621,marketplace_signal,marketplace,Known reusable skill name or OpenSpec skill pattern.
JonasKruckenberg/k23,Claude_Code,.claude/skills/review/SKILL.md,.claude/skills,review,236,196db2b23285,5/8/2026,claude: add review skill (.claude/skills/review/SKILL.md),FALSE,3,unknown,scratch,Commit message explicitly introduces or updates project-specific skill files.
Kuingsmile/word-GPT-Plus,OpenAI_Codex,.github/skills/SKILL.md,.github/skills,langchain-architecture,338,90a01757b4d2,12/24/2025,":construction: WIP(custom): remove mcp related code, due to cors issue",FALSE,14,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Layr-Labs/eigenlayer-contracts,Devin,.claude/skills/audit-extractor/SKILL.md,.claude/skills,audit-extractor,217,88a11dcff2b8,1/4/2026,feat: add claude skills (#1686),TRUE,6,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Layr-Labs/eigenlayer-contracts,Devin,.claude/skills/integration-test-writer/SKILL.md,.claude/skills,integration-test-writer,436,88a11dcff2b8,1/4/2026,feat: add claude skills (#1686),TRUE,6,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Layr-Labs/eigenlayer-contracts,Devin,.claude/skills/interface-lint/SKILL.md,.claude/skills,interface-lint,261,88a11dcff2b8,1/4/2026,feat: add claude skills (#1686),TRUE,6,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
MixinNetwork/flutter-plugins,Copilot,.codex/skills/flutter-pub-release/SKILL.md,.codex/skills,flutter-pub-release,128,8f36942173dc,4/19/2026,feat: add flutter-pub-release skill for package release automation,TRUE,3,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
Mr-Quin/danmaku-anywhere,Copilot,.claude/skills/babysit-pr/SKILL.md,.claude/skills,babysit-pr,97,abd3a25ead93,5/21/2026,(chore) long-lived preview build channel [DA-527] (#414),FALSE,5,marketplace_signal,scratch,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Mr-Quin/danmaku-anywhere,Copilot,.claude/skills/browser-verify/SKILL.md,.claude/skills,browser-verify,128,7d3b055e0a3c,5/21/2026,"(extension) pinned dev browser, branch watermark, doc refresh [DA-524] (#413)",FALSE,17,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Mr-Quin/danmaku-anywhere,Copilot,.claude/skills/e2e-spec/SKILL.md,.claude/skills,e2e-spec,55,94192154aa0b,5/29/2026,(chore) move agent specs and screenshots to ClickUp [DA-546] (#432),FALSE,23,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Myriad-Dreamin/tinymist,Copilot,.codex/skills/gh-cli/SKILL.md,.codex/skills,gh-cli,2190,566e3bbf3dc1,3/28/2026,chore: add gh-cli codex skill (#2443),FALSE,1,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
Myriad-Dreamin/tinymist,Copilot,.codex/skills/openspec-apply-change/SKILL.md,.codex/skills,openspec-apply-change,157,4d959b53e662,3/15/2026,feat: add tinymist release skill (#2420),TRUE,16,marketplace_signal,marketplace,Known reusable skill name or OpenSpec skill pattern.
Myriad-Dreamin/tinymist,Copilot,.codex/skills/openspec-archive-change/SKILL.md,.codex/skills,openspec-archive-change,115,4d959b53e662,3/15/2026,feat: add tinymist release skill (#2420),TRUE,16,marketplace_signal,marketplace,Known reusable skill name or OpenSpec skill pattern.
NuGet/NuGetGallery,Copilot,.github/skills/aspire/SKILL.md,.github/skills,aspire,106,5ef54b5ec736,4/22/2026,"Add Aspire app host for NuGetGallery, V3 jobs, and search service (#10776)",FALSE,39,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
OWASP/mastg,Copilot,.github/skills/mastg-assign-ids/SKILL.md,.github/skills,mastg-assign-ids,137,6dfdffa981e4,5/23/2026,Add SKILL for managing MASTG IDs (#3817),FALSE,5,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
PRQL/prql,Claude_Code,.claude/skills/running-tend/SKILL.md,.claude/skills,,56,d77a6a422a39,3/23/2026,ci: add tend (Claude-powered CI) workflows (#5727),FALSE,10,marketplace_signal,scratch,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
PowerShell/vscode-powershell,Copilot,.github/skills/release/SKILL.md,.github/skills,release,100,ecb814597978,4/15/2026,"Add Copilot instructions, skills, and simplify developer docs (#5468)",TRUE,4,scratch,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
PowerShell/vscode-powershell,Copilot,.github/skills/update-npm-packages/SKILL.md,.github/skills,update-npm-packages,28,ecb814597978,4/15/2026,"Add Copilot instructions, skills, and simplify developer docs (#5468)",TRUE,4,scratch,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
PrefectHQ/prefect,Claude_Code,.claude/skills/agents-md-sync/SKILL.md,.claude/skills,agents-md-sync,254,b4719fb5c540,3/6/2026,"Update root, SDK, and test AGENTS.md files; remove legacy mkdocs (#21008)",TRUE,16,marketplace_signal,from_acf,Commit message and/or ACF co-change suggests extraction/consolidation from agent context instructions.
PrefectHQ/prefect,Claude_Code,.claude/skills/backlog-management/SKILL.md,.claude/skills,backlog-management,150,c8133010cd7c,3/6/2026,Add backlog-management skill for OSS issue backlog cleanup (#21007),FALSE,1,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
PrefectHQ/prefect,Claude_Code,.claude/skills/document-changes/SKILL.md,.claude/skills,document-changes,183,d5078afb4399,3/24/2026,Add document-changes skill and CI workflow (#21248),FALSE,2,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
ShapeCrawler/ShapeCrawler,OpenAI_Codex,.cursor/skills/create-class/SKILL.md,.cursor/skills,class,21,d1064cf378ca,2/5/2026,Add class creation guidelines and update agents documentation,TRUE,2,from_acf_signal,from_acf,"ACF co-changed with skill introduction, suggesting ACF-derived or ACF-synchronized skill."
Shelf-nu/shelf.nu,Claude_Code,.claude/skills/react-doctor/SKILL.md,.claude/skills,react-doctor,33,24b28cc6d1ff,4/23/2026,chore(tooling): integrate react-doctor + ship Claude Code skill,TRUE,8,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Skyvern-AI/skyvern,OpenAI_Codex,.claude/skills/bump-version/SKILL.md,.claude/skills,bump-version,166,a19da94d5c82,2/21/2026,Add bump-version Claude skill for OSS releases (#4834),FALSE,2,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
SuperClaude-Org/SuperClaude_Framework,Claude_Code,.claude/skills/confidence-check/SKILL.md,.claude/skills,Confidence Check,126,c733413d3c5d,10/29/2025,Proposal: Create `next` Branch for Testing Ground (89 commits) (#459),TRUE,224,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
SwitchbackTech/compass,OpenAI_Codex,.claude/skills/a11y-audit/SKILL.md,.claude/skills,claude-a11y-audit,135,7636dfa5566d,12/22/2025,feat: add a11y skills agent (#1387),FALSE,4,unknown,scratch,Commit message explicitly introduces or updates project-specific skill files.
SwitchbackTech/compass,OpenAI_Codex,.claude/skills/simplify-code/SKILL.md,.claude/skills,simplify-code,300,833b5c117cdd,2/26/2026,style(web): simplify z-index styling (#1475),FALSE,25,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
SwitchbackTech/compass,OpenAI_Codex,.codex/skills/a11y-audit/SKILL.md,.codex/skills,codex-a11y-audit,140,7636dfa5566d,12/22/2025,feat: add a11y skills agent (#1387),FALSE,4,unknown,scratch,Commit message explicitly introduces or updates project-specific skill files.
Trendyol/stove,OpenAI_Codex,.claude/skills/stove/SKILL.md,.claude/skills,stove,119,326b93ab2ed1,2/19/2026,feat: add a gradle plugin for distribution of stove-tracing (#1037),FALSE,32,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
TypedDevs/bashunit,OpenAI_Codex,.claude/skills/add-assertion/SKILL.md,.claude/skills,add-assertion,59,526f6ec576ae,2/10/2026,feat(claude): add comprehensive Claude Code configuration with 5 expert agents and custom skills,TRUE,24,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
TypedDevs/bashunit,OpenAI_Codex,.claude/skills/check-coverage/SKILL.md,.claude/skills,check-coverage,57,526f6ec576ae,2/10/2026,feat(claude): add comprehensive Claude Code configuration with 5 expert agents and custom skills,TRUE,24,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
TypedDevs/bashunit,OpenAI_Codex,.claude/skills/commit/SKILL.md,.claude/skills,commit,92,0d8909789089,3/14/2026,chore(claude): modernize .claude/ config with SOAT patterns,TRUE,12,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
Vocab-Apps/anki-hyper-tts,Copilot,.claude/skills/sentry-audio-error-review/SKILL.md,.claude/skills,sentry-audio-error-review,134,2f3560f3d419,4/28/2026,Add Sentry audio-error categorization review skill,FALSE,1,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
Z3Prover/z3,Copilot,.github/skills/benchmark/SKILL.md,.github/skills,benchmark,80,d349b93d1d3e,3/11/2026,"Add Copilot skill architecture with 10 skills, 2 agents, and shared infra",FALSE,25,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Z3Prover/z3,Copilot,.github/skills/encode/SKILL.md,.github/skills,encode,74,d349b93d1d3e,3/11/2026,"Add Copilot skill architecture with 10 skills, 2 agents, and shared infra",FALSE,25,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Z3Prover/z3,Copilot,.github/skills/explain/SKILL.md,.github/skills,explain,84,d349b93d1d3e,3/11/2026,"Add Copilot skill architecture with 10 skills, 2 agents, and shared infra",FALSE,25,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
Zipstack/unstract,Claude_Code,.claude/skills/adapter-ops/SKILL.md,.claude/skills,adapter-ops,392,0d93ee2cf28e,3/10/2026,UN-3104 feat: Add Unstract Adapter Extension Skill and Azure AI Foundry Adapter (#1721),FALSE,32,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Zipstack/unstract,Claude_Code,.claude/skills/connector-ops/SKILL.md,.claude/skills,connector-ops,498,8945a7733af7,2/26/2026,feat: Add connector-ops skill and SharePoint/OneDrive connector (#1722),FALSE,40,marketplace_signal,scratch,Commit message explicitly introduces or updates project-specific skill files.
Zipstack/unstract,Claude_Code,.claude/skills/worktree/SKILL.md,.claude/skills,worktree,100,9e2f01c81bb9,2/26/2026,[MISC] Add worktree setup script for automated env file copying (#1756),FALSE,3,unknown,scratch,Available metadata is insufficient to determine provenance confidently.
actualbudget/actual,Cursor,.claude/skills/committing-actual-changes/SKILL.md,.claude/skills,committing-actual-changes,28,64f230833cf1,5/28/2026,"[AI] Add Claude Code skills for docs, commits, and PR review (#7967)",FALSE,9,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
actualbudget/actual,Cursor,.claude/skills/review-actual-pr/SKILL.md,.claude/skills,review-actual-pr,218,64f230833cf1,5/28/2026,"[AI] Add Claude Code skills for docs, commits, and PR review (#7967)",FALSE,9,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
actualbudget/actual,Cursor,.claude/skills/writing-actual-docs/SKILL.md,.claude/skills,writing-actual-docs,24,64f230833cf1,5/28/2026,"[AI] Add Claude Code skills for docs, commits, and PR review (#7967)",FALSE,9,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
adaline/gateway,Devin,.claude/skills/add-model/SKILL.md,.claude/skills,add-model,17,c3707c33547b,3/21/2026,chore: add Claude Code configuration for AI-assisted development,TRUE,9,scratch,scratch,Automatic signal and commit metadata suggest project-specific creation.
adaline/gateway,Devin,.claude/skills/review-provider/SKILL.md,.claude/skills,review-provider,18,c3707c33547b,3/21/2026,chore: add Claude Code configuration for AI-assisted development,TRUE,9,scratch,scratch,Automatic signal and commit metadata suggest project-specific creation.
afadil/wealthfolio,OpenAI_Codex,.claude/skills/react-useeffect/SKILL.md,.claude/skills,react-useeffect,63,74f5e00e01e5,1/9/2026,refactoring and optimization,FALSE,108,marketplace_signal,marketplace,Only weak/bulk marketplace signal was available; not enough evidence for marketplace provenance.
afadil/wealthfolio,OpenAI_Codex,.claude/skills/run-e2e-tests/SKILL.md,.claude/skills,run-e2e-tests,16,60f6cef57cef,4/11/2026,docs(e2e): add README with setup instructions and run-e2e-tests skill,FALSE,2,scratch_likely,scratch,Commit message explicitly introduces or updates project-specific skill files.
alefragnani/vscode-bookmarks,Copilot,.github/skills/vscode-ext-commands/SKILL.md,.github/skills,vscode-ext-commands,22,22a7a780d71d,1/11/2026,Add skills for contributing commands and localization in VS Code extensions,FALSE,2,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
alefragnani/vscode-bookmarks,Copilot,.github/skills/vscode-ext-localization/SKILL.md,.github/skills,vscode-ext-localization,26,22a7a780d71d,1/11/2026,Add skills for contributing commands and localization in VS Code extensions,FALSE,2,scratch,scratch,Commit message explicitly introduces or updates project-specific skill files.
